지점,일시,기온(°C),풍향(36방위),풍속(m/s),해면기압(hPa),현지기압(hPa),12시간강수량(mm),상대습도(%),이슬점온도(°C),시정(m)
3,2018-01-01 00:00,-4.4,32,7,1021,1020.6,,60,-10.9,3000
3,2018-01-01 03:00,-4.9,32,4,1021.1,1020.7,,54,-12.7,3000
3,2018-01-01 06:00,-4.9,32,4,1021.1,1020.7,,52,-13.2,3000
3,2018-01-01 09:00,-4.4,32,4,1023.3,1022.9,,51,-13,3000
3,2018-01-01 12:00,-3.1,32,3,1023.6,1023.2,,49,-12.4,3000
3,2018-01-01 15:00,-.6,32,3,1022.1,1021.7,,43,-11.6,3000
3,2018-01-01 18:00,-3.9,32,5,1023.5,1023.1,,49,-13,3000
3,2018-01-01 21:00,-6.1,32,2,1024.5,1024.1,,51,-14.7,3000
3,2018-01-02 00:00,-5.5,32,4,1025.2,1024.8,,50,-14.3,3000
3,2018-01-02 03:00,-6.9,32,6,1025.5,1025.1,,48,-16.1,3000
3,2018-01-02 06:00,-8.4,32,2,1025.1,1024.7,,54,-16,3000
3,2018-01-02 09:00,-7.9,32,2,1025,1024.6,,50,-16.5,3000
3,2018-01-02 12:00,-6.8,32,6,1025,1024.6,,46,-16.6,3000
3,2018-01-02 15:00,-5.7,32,9,1023.6,1023.2,,44,-15.9,3000
3,2018-01-02 18:00,-8.1,32,6,1024.7,1024.3,,52,-16.2,3000
3,2018-01-02 21:00,-8.3,32,6,1025.6,1025.2,,51,-16.6,3000
3,2018-01-03 00:00,-9,27,3,1027,1026.6,,52,-17,3000
3,2018-01-03 03:00,-8.7,32,6,1027,1026.6,,53,-16.5,3000
3,2018-01-03 06:00,-9,36,2,1028.4,1028,,55,-16.3,3000
3,2018-01-03 09:00,-8.1,32,5,1029.4,1029,,55,-15.5,3000
3,2018-01-03 12:00,-5.9,32,6,1029.4,1029,,54,-13.8,3000
3,2018-01-03 15:00,-5.1,32,6,1028.1,1027.7,,49,-14.1,3000
3,2018-01-03 18:00,-6.9,32,4,1028.7,1028.3,,50,-15.5,3000
3,2018-01-03 21:00,-7.8,32,6,1028.9,1028.5,,53,-15.7,3000
3,2018-01-04 00:00,-8.6,32,5,1029.5,1029.1,,54,-16.3,3000
3,2018-01-04 03:00,-8.6,32,7,1029.5,1029.1,,54,-16.3,3000
3,2018-01-04 06:00,-8.6,32,8,1028.6,1028.2,,56,-15.7,3000
3,2018-01-04 09:00,-7.5,32,3,1029.3,1028.9,,54,-15.2,3000
3,2018-01-04 12:00,-4.2,27,7,1028.4,1028,,48,-13.7,3000
3,2018-01-04 15:00,-1,32,4,1024.9,1024.5,,40,-12.9,3000
3,2018-01-04 18:00,-4.9,27,1,1025.2,1024.8,,47,-14.4,3000
3,2018-01-04 21:00,-6.7,9,1,1025.2,1024.8,,57,-13.9,3000
3,2018-01-05 00:00,-10.4,0,0,1024.5,1024.1,,65,-15.7,3000
3,2018-01-05 03:00,-10.7,0,0,1023,1022.6,,64,-16.1,3000
3,2018-01-05 06:00,-12.1,36,2,1021.7,1021.3,,65,-17.3,3000
3,2018-01-05 09:00,-6.1,0,0,1020.8,1020.4,,58,-13,3000
3,2018-01-05 12:00,-1.3,0,0,1020.2,1019.8,,41,-13,3000
3,2018-01-05 15:00,1.6,32,5,1016.1,1015.7,,42,-9.9,3000
3,2018-01-05 18:00,-4.2,32,1,1016.3,1015.9,,52,-12.6,3000
3,2018-01-05 21:00,-4.2,32,3,1017,1016.6,,52,-12.6,3000
3,2018-01-06 00:00,-4,32,5,1016.7,1016.3,,48,-13.4,3000
3,2018-01-06 03:00,-4.7,32,3,1018.1,1017.7,,50,-13.5,3000
3,2018-01-06 06:00,-5.1,32,8,1017.6,1017.2,,51,-13.6,3000
3,2018-01-06 09:00,-4.9,32,8,1020.5,1020.1,,50,-13.8,3000
3,2018-01-06 12:00,-1.6,32,7,1020.4,1020,,45,-11.9,3000
3,2018-01-06 15:00,1,32,3,1019.3,1018.9,,40,-11.1,3000
3,2018-01-06 18:00,-2.5,32,5,1020.2,1019.8,,44,-13,3000
3,2018-01-06 21:00,-2.7,32,6,1021.8,1021.4,,44,-13.3,3000
3,2018-01-07 00:00,-6.4,27,3,1023.3,1022.9,,55,-14,3000
3,2018-01-07 03:00,-6.5,32,2,1024,1023.6,,49,-15.4,3000
3,2018-01-07 06:00,-8.5,0,0,1023.3,1022.9,,57,-15.5,3000
3,2018-01-07 09:00,-8.8,32,1,1024.1,1023.7,,70,-13.2,3000
3,2018-01-07 12:00,-.4,14,2,1024,1023.6,,72,-4.8,3000
3,2018-01-07 15:00,.2,14,2,1020,1019.6,,81,-2.7,3000
3,2018-01-07 18:00,-1.6,0,0,1019.5,1019.1,,90,-3,3000
3,2018-01-07 21:00,-4.3,0,0,1018.7,1018.3,,91,-5.5,3000
3,2018-01-08 00:00,-7.8,0,0,1017.2,1016.8,,93,-8.8,3000
3,2018-01-08 03:00,-9.4,0,0,1016.1,1015.7,,95,-10.1,3000
3,2018-01-08 06:00,-8.2,0,0,1014.2,1013.8,,92,-9.2,3000
3,2018-01-08 09:00,-1.4,32,1,1011.4,1011,,68,-6.6,3000
3,2018-01-08 12:00,1.2,36,3,1009.8,1009.4,,63,-5,3000
3,2018-01-08 15:00,2.3,36,3,1004.8,1004.4,,61,-4.5,3000
3,2018-01-08 18:00,-.2,36,2,1003.7,1003.3,,69,-5.2,2000
3,2018-01-08 21:00,-2.3,0,0,1002.8,1002.4,,85,-4.5,1800
3,2018-01-09 00:00,-3.5,0,0,1001.1,1000.7,.1,94,-4.3,800
3,2018-01-09 03:00,-1.4,32,4,999.9,999.5,.1,76,-5.1,2000
3,2018-01-09 06:00,-2.7,32,4,998.6,998.2,,73,-6.8,2000
3,2018-01-09 09:00,-5.2,32,4,1001.7,1001.3,.9,56,-12.6,3000
3,2018-01-09 12:00,-4.1,32,5,1002,1001.6,,46,-14.1,2800
3,2018-01-09 15:00,-2.9,32,5,1002.4,1002,,41,-14.4,2100
3,2018-01-09 18:00,-5.1,32,7,1005.1,1004.7,,44,-15.4,2800
3,2018-01-09 21:00,-6.5,32,3,1006.9,1006.5,,46,-16.1,3000
3,2018-01-10 00:00,-7.8,32,6,1007.6,1007.2,,50,-16.3,3000
3,2018-01-10 03:00,-9.2,32,9,1008.6,1008.2,,48,-18.1,3000
3,2018-01-10 06:00,-10.1,32,9,1009.4,1009,,45,-19.8,3000
3,2018-01-10 09:00,-9.6,32,9,1011.4,1011,,50,-18.1,3000
3,2018-01-10 12:00,-9.5,32,9,1011.1,1010.7,,47,-18.6,3000
3,2018-01-10 15:00,-8.4,32,9,1011.4,1011,,48,-17.4,3000
3,2018-01-10 18:00,-10.4,32,7,1015.3,1014.9,,40,-21.4,3000
3,2018-01-10 21:00,-11.9,32,7,1017.8,1017.4,,45,-21.4,3000
3,2018-01-11 00:00,-12.9,32,4,1019.4,1019,,45,-22.4,3000
3,2018-01-11 03:00,-14,32,7,1020.2,1019.8,,45,-23.4,3000
3,2018-01-11 06:00,-14.8,32,7,1021.4,1021,,45,-24.1,3000
3,2018-01-11 09:00,-15,32,7,1023.7,1023.3,,50,-23.1,3000
3,2018-01-11 12:00,-14.3,32,10,1023.1,1022.7,,40,-25,3000
3,2018-01-11 15:00,-13.1,32,5,1022.6,1022.2,,35,-25.3,3000
3,2018-01-11 18:00,-13.3,32,8,1024.5,1024.1,,40,-24,3000
3,2018-01-11 21:00,-14.2,32,5,1026.2,1025.8,,40,-24.9,3000
3,2018-01-12 00:00,-14.5,32,4,1026.4,1026,,40,-25.1,3000
3,2018-01-12 03:00,-14.9,32,4,1026.4,1026,,40,-25.5,3000
3,2018-01-12 06:00,-15,36,3,1026.5,1026.1,,35,-27.1,3000
3,2018-01-12 09:00,-13.5,0,0,1028.5,1028.1,,35,-25.7,3000
3,2018-01-12 12:00,-9.7,23,1,1028.3,1027.9,,31,-23.5,3000
3,2018-01-12 15:00,-7.1,14,2,1026,1025.6,,23,-24.6,3000
3,2018-01-12 18:00,-9.3,36,2,1026.7,1026.3,,24,-26.1,3000
3,2018-01-12 21:00,-11,27,1,1027.9,1027.5,,25,-27.2,3000
3,2018-01-13 00:00,-11.9,32,3,1028.7,1028.3,,35,-24.3,3000
3,2018-01-13 03:00,-14,27,2,1028.7,1028.3,,50,-22.2,3000
3,2018-01-13 06:00,-13.5,0,0,1028.2,1027.8,,55,-20.6,3000
3,2018-01-13 09:00,-11,0,0,1028.2,1027.8,,60,-17.2,3000
3,2018-01-13 12:00,-4.5,36,3,1029.1,1028.7,,46,-14.3,3000
